date,auton_ext_pm25,auton_int_pm25,airkorea_pm25
2022-03-02 08:00:57,8,1,11
2022-03-02 08:01:08,13,1,11
2022-03-02 08:01:18,22,0,11
2022-03-02 08:01:28,22,0,11
2022-03-02 08:01:38,22,1,11
2022-03-02 08:01:48,22,1,11
2022-03-02 08:01:58,22,4,11
2022-03-02 08:02:08,22,4,11
2022-03-02 08:02:18,22,8,11
2022-03-02 08:02:28,22,8,11
2022-03-02 08:02:38,24,7,11
2022-03-02 08:02:48,24,7,11
2022-03-02 08:02:58,23,10,11
2022-03-02 08:03:08,23,10,11
2022-03-02 08:03:18,25,11,11
2022-03-02 08:03:28,25,11,11
2022-03-02 08:03:38,32,10,11
2022-03-02 08:03:48,32,10,11
2022-03-02 08:03:58,32,12,11
2022-03-02 08:04:08,32,12,11
2022-03-02 08:04:18,38,10,11
2022-03-02 08:04:28,32,10,11
2022-03-02 08:04:37,32,11,11
2022-03-02 08:04:48,23,11,11
2022-03-02 08:04:58,23,13,11
2022-03-02 08:05:08,23,13,11
2022-03-02 08:05:18,23,13,11
2022-03-02 08:05:28,29,13,12
2022-03-02 08:05:38,29,13,12
2022-03-02 08:05:47,37,13,12
2022-03-02 08:05:58,37,12,12
2022-03-02 08:06:08,39,12,12
2022-03-02 08:06:18,39,12,12
2022-03-02 08:06:28,51,11,12
2022-03-02 08:06:38,51,9,12
2022-03-02 08:06:48,21,9,12
2022-03-02 08:06:58,21,12,12
2022-03-02 08:07:09,23,12,12
2022-03-02 08:07:17,23,12,12
2022-03-02 08:07:28,21,12,12
2022-03-02 08:07:38,21,12,12
2022-03-02 08:07:48,39,12,12
2022-03-02 08:07:58,39,12,12
2022-03-02 08:08:08,53,11,12
2022-03-02 08:08:18,53,11,12
2022-03-02 08:08:28,49,8,12
2022-03-02 08:08:38,49,8,12
2022-03-02 08:08:48,42,8,12
2022-03-02 08:08:58,42,8,12
2022-03-02 08:09:08,36,8,12
2022-03-02 08:09:18,36,8,12
2022-03-02 08:09:28,17,8,12
2022-03-02 08:09:38,17,8,16
2022-03-02 08:09:48,16,10,16
2022-03-02 08:09:58,16,10,16
2022-03-02 08:10:08,16,8,16
2022-03-02 08:10:18,17,8,16
2022-03-02 08:10:30,17,7,16
2022-03-02 08:10:40,28,7,16
2022-03-02 08:10:53,28,5,16
2022-03-02 08:10:58,33,5,16
2022-03-02 08:11:08,33,6,16
2022-03-02 08:11:18,39,6,16
2022-03-02 08:11:28,39,7,16
2022-03-02 08:11:39,31,7,16
2022-03-02 08:11:48,31,7,16
2022-03-02 08:11:57,29,7,16
2022-03-02 08:12:08,29,5,16
2022-03-02 08:12:18,23,5,16
2022-03-02 08:12:28,23,5,16
2022-03-02 08:12:38,32,5,16
2022-03-02 08:12:48,32,2,16
2022-03-02 08:12:58,28,2,16
2022-03-02 08:13:18,21,6,16
2022-03-02 08:13:28,21,4,16
2022-03-02 08:13:38,22,4,16
2022-03-02 08:13:48,22,3,16
2022-03-02 08:13:58,22,3,16
2022-03-02 08:14:08,22,7,16
2022-03-02 08:14:18,22,7,16
2022-03-02 08:14:28,22,5,16
2022-03-02 08:14:39,19,5,16
2022-03-02 08:14:47,23,4,16
2022-03-02 08:14:58,23,4,16
2022-03-02 08:15:08,29,6,16
2022-03-02 08:15:18,29,6,16
2022-03-02 08:15:28,33,5,16
2022-03-02 08:15:38,33,5,16
2022-03-02 08:15:48,27,4,16
2022-03-02 08:16:01,27,4,16
2022-03-02 08:16:10,18,3,16
2022-03-02 08:16:19,18,3,16
2022-03-02 08:16:27,22,3,16
2022-03-02 08:16:38,22,3,16
2022-03-02 08:16:48,24,3,16
2022-03-02 08:16:58,24,3,16
2022-03-02 08:17:07,27,3,16
2022-03-02 08:17:18,27,5,16
2022-03-02 08:17:28,24,5,16
2022-03-02 08:17:38,24,5,16
2022-03-02 08:17:48,18,4,16
2022-03-02 08:17:58,18,4,16
2022-03-02 08:18:08,18,4,16
2022-03-02 08:18:22,18,4,16
2022-03-02 08:18:28,14,5,16
2022-03-02 08:18:38,14,5,16
2022-03-02 08:18:48,20,5,16
2022-03-02 08:18:58,20,5,16
2022-03-02 08:19:08,22,5,16
2022-03-02 08:19:18,22,5,16
2022-03-02 08:19:28,22,6,16
2022-03-02 08:19:38,22,6,16
2022-03-02 08:19:48,20,6,16
2022-03-02 08:19:58,20,4,16
2022-03-02 08:20:08,18,4,16
2022-03-02 08:20:18,18,3,16
2022-03-02 08:20:28,16,3,16
2022-03-02 08:20:38,16,4,16
2022-03-02 08:20:48,17,4,16
2022-03-02 08:20:58,17,2,16
2022-03-02 08:21:08,31,2,16
2022-03-02 08:21:18,31,3,16
2022-03-02 08:21:28,25,3,16
2022-03-02 08:21:38,17,2,16
2022-03-02 08:21:48,17,2,16
2022-03-02 08:21:58,28,3,16
2022-03-02 08:22:08,28,3,16
2022-03-02 08:22:18,18,3,16
2022-03-02 08:22:28,18,3,16
2022-03-02 08:22:38,16,5,16
2022-03-02 08:22:48,16,5,16
2022-03-02 08:22:58,18,4,16
2022-03-02 08:23:08,18,4,16
2022-03-02 08:23:18,19,2,16
2022-03-02 08:23:28,19,2,16
2022-03-02 08:23:38,45,5,16
2022-03-02 08:23:48,45,5,16
2022-03-02 08:23:58,28,5,16
2022-03-02 08:24:08,28,3,16
2022-03-02 08:24:18,41,3,16
2022-03-02 08:24:28,41,5,16
2022-03-02 08:24:38,49,5,16
2022-03-02 08:24:48,49,3,16
2022-03-02 08:24:58,21,3,16
2022-03-02 08:25:08,21,2,16
2022-03-02 08:25:18,21,2,16
2022-03-02 08:25:28,21,3,16
2022-03-02 08:25:38,21,3,16
2022-03-02 08:25:48,21,3,16
2022-03-02 08:25:58,22,3,16
2022-03-02 08:26:09,22,3,16
2022-03-02 08:26:18,19,3,16
2022-03-02 08:26:28,19,4,16
2022-03-02 08:26:38,19,4,16
2022-03-02 08:26:48,19,2,16
2022-03-02 08:26:58,26,2,16
2022-03-02 08:27:08,26,1,16
2022-03-02 08:27:18,22,1,16
2022-03-02 08:27:28,22,1,16
2022-03-02 08:27:38,18,1,16
2022-03-02 08:27:48,18,1,16
2022-03-02 08:27:58,23,1,16
2022-03-02 08:28:08,23,1,16
2022-03-02 08:28:19,21,1,16
2022-03-02 08:28:28,21,2,16
2022-03-02 08:28:38,24,2,16
2022-03-02 08:28:48,24,2,16
2022-03-02 08:28:58,27,2,16
2022-03-02 08:29:08,27,1,16
2022-03-02 08:29:18,21,1,16
2022-03-02 08:29:28,21,2,16
2022-03-02 08:29:38,21,2,16
2022-03-02 08:29:48,21,0,0
2022-03-02 08:29:58,21,0,16
2022-03-02 08:30:08,21,0,16
2022-03-02 08:30:18,18,0,16
2022-03-02 08:30:28,18,0,16
2022-03-02 08:30:38,18,0,16
2022-03-02 08:30:48,18,0,16
2022-03-02 08:30:58,23,0,16
2022-03-02 08:31:08,23,1,16
2022-03-02 08:31:18,35,1,16
2022-03-02 08:31:29,35,0,34
2022-03-02 08:31:38,31,0,34
2022-03-02 08:31:49,31,0,34
2022-03-02 08:31:58,28,0,34
2022-03-02 08:32:09,28,0,34
2022-03-02 08:32:18,35,0,34
2022-03-02 08:32:28,35,1,34
2022-03-02 08:32:38,33,1,34
2022-03-02 08:32:48,33,0,34
2022-03-02 08:32:58,41,0,34
2022-03-02 08:33:08,41,0,34
2022-03-02 08:33:21,33,0,34
