date,pm25_in,pm25_out
2022-03-02 08:00:57,1,8
2022-03-02 08:01:08,1,13
2022-03-02 08:01:18,0,22
2022-03-02 08:01:28,0,22
2022-03-02 08:01:38,1,22
2022-03-02 08:01:48,1,22
2022-03-02 08:01:58,4,22
2022-03-02 08:02:08,4,22
2022-03-02 08:02:18,8,22
2022-03-02 08:02:28,8,22
2022-03-02 08:02:38,7,24
2022-03-02 08:02:48,7,24
2022-03-02 08:02:58,10,23
2022-03-02 08:03:08,10,23
2022-03-02 08:03:18,11,25
2022-03-02 08:03:28,11,25
2022-03-02 08:03:38,10,32
2022-03-02 08:03:48,10,32
2022-03-02 08:03:58,12,32
2022-03-02 08:04:08,12,32
2022-03-02 08:04:18,10,38
2022-03-02 08:04:28,10,32
2022-03-02 08:04:37,11,32
2022-03-02 08:04:48,11,23
2022-03-02 08:04:58,13,23
2022-03-02 08:05:08,13,23
2022-03-02 08:05:18,13,23
2022-03-02 08:05:28,13,29
2022-03-02 08:05:38,13,29
2022-03-02 08:05:47,13,37
2022-03-02 08:05:58,12,37
2022-03-02 08:06:08,12,39
2022-03-02 08:06:18,12,39
2022-03-02 08:06:28,11,51
2022-03-02 08:06:38,9,51
2022-03-02 08:06:48,9,21
2022-03-02 08:06:58,12,21
2022-03-02 08:07:09,12,23
2022-03-02 08:07:17,12,23
2022-03-02 08:07:28,12,21
2022-03-02 08:07:38,12,21
2022-03-02 08:07:48,12,39
2022-03-02 08:07:58,12,39
2022-03-02 08:08:08,11,53
2022-03-02 08:08:18,11,53
2022-03-02 08:08:28,8,49
2022-03-02 08:08:38,8,49
2022-03-02 08:08:48,8,42
2022-03-02 08:08:58,8,42
2022-03-02 08:09:08,8,36
2022-03-02 08:09:18,8,36
2022-03-02 08:09:28,8,17
2022-03-02 08:09:38,8,17
2022-03-02 08:09:48,10,16
2022-03-02 08:09:58,10,16
2022-03-02 08:10:08,8,16
2022-03-02 08:10:18,8,17
2022-03-02 08:10:30,7,17
