Seat L1,Seat L2,Seat L3,Seat L4,sum
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,421.0,170.0,1267.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
238.0,438.0,422.0,170.0,1268.0
239.0,438.0,422.0,170.0,1269.0
239.0,438.0,422.0,170.0,1269.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,422.0,169.0,1268.0
239.0,438.0,421.0,169.0,1267.0
239.0,438.0,421.0,169.0,1267.0
239.0,438.0,421.0,169.0,1267.0
239.0,438.0,421.0,169.0,1267.0
239.0,438.0,421.0,169.0,1267.0
239.0,438.0,421.0,169.0,1267.0
