0g,500g,1000g,1500g,2000g,2500g,3000g,3500g,4000g,4500g,5000g
54991,66212,76944,87531,98388,109310,119906,130577,141077,152219,162622
54729,66329,76798,87723,98348,109496,119888,130650,141300,151705,162614
55011,66446,77069,87905,98449,109391,119789,130948,141304,152177,162864
54849,66495,76699,87545,98336,108952,120075,131058,141339,151956,162836
55305,66525,77167,87317,98361,109054,120100,130609,141309,151956,162583
54780,66410,76743,87270,98526,109510,120034,131103,141251,152219,162845
54964,66445,76997,87587,98212,109157,119729,130962,141312,151914,162778
54838,66672,76787,87206,98183,109415,119996,130306,140880,152130,162708
54962,66640,77251,87290,98351,108872,119905,130816,141331,152148,162628
54855,66549,76825,87454,98065,109604,119756,130591,141306,151970,162826
54833,66637,77160,87651,98307,109063,119717,130444,141115,152227,162463
54858,66425,77146,87339,98088,109365,119895,130824,141451,152007,162774
55091,66506,76925,87253,98561,109221,119847,130310,141142,151874,162651
54863,66596,76843,87554,98214,109338,120049,130375,141437,152023,162476
54794,66526,77116,87683,98293,109237,119916,130719,141276,152109,162450
54904,66536,77041,87168,98188,109127,119806,130550,141287,152000,162726
54833,66725,77210,87335,98646,109074,119848,130325,141267,151928,162863
54855,66529,76859,87777,98234,109214,119798,130448,140968,152027,162521
55048,66612,76585,87513,98330,109375,119953,130403,141307,152269,162490
54768,66477,76654,87655,98476,109199,119917,130791,141019,152101,162851
54502,66786,76404,87547,98457,109002,119819,130782,141167,152067,162939
54822,66564,76972,87465,98201,109169,119988,130751,141238,152105,162881
54962,66243,76944,87858,98436,109207,120104,130695,141497,152378,162532
55363,66629,76873,87717,98177,109080,119584,130940,141157,151981,162593
54784,66675,77312,87562,98202,108797,119747,130924,141074,152011,162468
55114,66465,77106,87516,98085,109250,119797,130519,141181,152027,162638
54850,66730,76704,87473,98209,109154,119821,130805,141261,151982,162717
54958,66549,76993,87669,98311,109016,119607,130569,141398,152014,162648
55055,66650,76755,87715,98215,108978,119600,130857,141208,152116,162647
54757,66463,76754,87639,98195,109341,119850,130415,141390,151955,162675
54860,66435,77189,87758,98121,109213,119999,130652,141181,152263,162599
54572,66540,76889,87390,98524,109333,119746,130669,141288,151852,162784
54949,66289,76969,87744,97958,108682,120065,130482,141515,151943,162770
54992,66474,76803,87355,97845,109102,119805,130607,141139,151965,162697
54861,66416,76887,87432,98408,109016,119753,130788,141444,151705,162863
54945,66701,76784,87255,98353,109222,119913,130717,141194,152147,162588
54859,66813,76896,87569,98254,109084,119557,130497,141344,152216,162678
54592,66571,76564,87537,98135,108902,119917,130539,141399,152102,162791
55043,66753,77084,87437,98291,109297,119690,130323,141180,151911,162662
54919,66669,76597,87820,98334,109238,119861,130659,141162,151901,162737
54797,66576,76852,87528,98345,109005,120043,130705,141562,152032,162807
54810,66759,76526,87773,98120,109175,119958,130494,141328,151863,162712
54823,66700,77252,87623,97996,109056,119642,130512,141075,151631,162511
55315,66423,76862,87351,98537,109141,119810,130473,141280,151964,162485
54812,66545,77064,87420,98119,109297,119965,130922,141207,152150,162614
55268,66444,76878,87485,98561,109248,119843,130968,141225,152043,162444
54972,66506,76911,87353,98209,109258,119843,130820,141182,152126,162707
55101,66403,77043,87846,98608,109104,119519,130831,141154,151856,162602
55057,66580,77109,87749,98321,109377,120035,130668,141050,151765,162768
54994,66510,76865,87448,98148,109109,119625,130542,141496,151880,162550
55111,66321,76785,87632,98243,108992,119911,130729,141150,151974,162962
55128,66425,76547,87363,98488,109297,119969,130520,141559,151864,162874
54915,66586,77171,87328,98158,109113,119769,130684,141609,152015,162299
54910,66581,76947,87470,98470,109172,119603,130537,141375,152150,162612
54986,66450,77040,87507,98636,109260,120130,130670,141031,151831,162742
54888,66634,76996,87404,98335,109298,120044,130686,141160,152170,162755
54915,66501,76610,87314,98070,109023,119768,130754,141149,152201,162564
54888,66552,77000,87512,98273,109135,119435,130546,141230,151553,162519
54913,66398,77084,87404,98105,109046,119953,130741,141304,152111,162845
54918,66480,77075,87520,98276,109254,120233,130587,141404,151847,162473
54956,66892,77183,87572,97998,109433,120017,130607,141102,151983,162885
54477,66519,77380,87700,97960,109047,119872,130659,141208,152078,162444
55052,66504,76801,87507,98339,109029,119852,130772,141112,151607,162562
54966,66717,77247,87411,98701,109167,120104,130586,141211,152043,162747
55022,66880,77227,87698,98293,109241,119993,130722,141379,152104,162906
54887,66582,76856,87759,98141,109315,120016,130609,141132,151880,162839
54952,66725,76919,87494,98417,108953,119998,130442,141156,151988,162698
54795,66362,77053,87427,98458,109225,119768,130870,141375,152077,162461
55047,66619,77028,87571,98073,108915,119667,130709,141315,152229,162658
54470,66530,77239,87444,98158,109089,119871,130554,141279,151912,162649
54803,66935,76973,87759,98254,109519,120125,130698,141216,152112,162732
54897,66535,77066,87450,98206,109128,119722,130474,141238,151637,162491
54751,66507,76965,87461,98378,109288,120033,130321,141175,152185,162831
54634,66750,76796,87340,98120,109067,119957,130767,141367,151674,162611
54906,66491,77101,87266,98416,109104,119617,130578,141269,151998,162712
54836,66617,77143,87686,98309,109430,119989,130769,141268,151986,162650
54912,66539,77158,87671,98311,109495,119864,130762,140930,152017,162900
55191,66580,77333,87429,98056,108851,119919,130345,140828,152012,162942
54841,66594,77251,87119,98233,109317,119772,130834,141075,151911,162360
54795,66730,77181,87286,98421,108884,119845,130665,141093,152023,162467
54746,66577,76865,87701,98222,109402,119976,130515,141161,151922,162811
54933,66628,76835,87641,98281,109104,120042,130690,141013,151936,162756
54833,66913,77122,87412,98388,109124,119949,130624,141332,151908,162769
54815,66448,76696,87487,98258,109297,119832,130822,141198,152089,162831
54829,66638,77064,87716,98158,109213,119708,130490,141027,151977,162503
