mtime,Measurement time,Seat L1,Seat L2,Seat L3,Seat L4,L1,L2,L3,L4,L5,L6,L7,L8,Leg rest Angle,Recline Angle,Leg rest Voltage,Leg rest Ext. Voltage
2021-03-11 15:47:36.389,2021-03-11-15-47-36-389,300,375,456,130,0,141,0,0,0,0,0,0,1631,1648,13,12
2021-03-11 15:47:36.420,2021-03-11-15-47-36-420,300,375,456,130,0,141,0,0,0,0,0,0,1628,1648,11,10
2021-03-11 15:47:36.436,2021-03-11-15-47-36-436,300,375,456,130,0,141,0,0,0,0,0,0,1630,1649,11,14
2021-03-11 15:47:36.467,2021-03-11-15-47-36-467,300,375,456,130,0,141,0,0,0,0,0,0,1630,1647,11,10
2021-03-11 15:47:36.483,2021-03-11-15-47-36-483,300,375,456,130,0,141,0,0,0,0,0,0,1629,1647,11,10
2021-03-11 15:47:36.514,2021-03-11-15-47-36-514,300,375,456,130,0,141,0,0,0,0,0,0,1629,1646,11,10
2021-03-11 15:47:36.545,2021-03-11-15-47-36-545,300,375,456,130,0,141,0,0,0,0,0,0,1629,1646,11,10
2021-03-11 15:47:36.561,2021-03-11-15-47-36-561,313,362,457,126,0,140,0,0,0,0,0,0,1632,1649,13,16
2021-03-11 15:47:36.608,2021-03-11-15-47-36-608,313,362,457,126,0,140,0,0,0,0,0,0,1630,1647,11,10
2021-03-11 15:47:36.623,2021-03-11-15-47-36-623,313,362,457,126,0,140,0,0,0,0,0,0,1629,1648,11,12
2021-03-11 15:47:36.639,2021-03-11-15-47-36-639,313,362,457,126,0,140,0,0,0,0,0,0,1629,1647,11,10
2021-03-11 15:47:36.670,2021-03-11-15-47-36-670,313,362,457,126,0,140,0,0,0,0,0,0,1627,1648,10,10
2021-03-11 15:47:36.702,2021-03-11-15-47-36-702,313,362,457,126,0,140,0,0,0,0,0,0,1630,1648,11,12
2021-03-11 15:47:36.733,2021-03-11-15-47-36-733,297,375,465,123,0,140,0,0,0,0,0,0,1629,1646,11,10
2021-03-11 15:47:36.764,2021-03-11-15-47-36-764,297,375,465,123,0,140,0,0,0,0,0,0,1629,1646,11,10
2021-03-11 15:47:36.795,2021-03-11-15-47-36-795,297,375,465,123,0,140,0,0,0,0,0,0,1629,1648,11,12
2021-03-11 15:47:36.811,2021-03-11-15-47-36-811,297,375,465,123,0,140,0,0,0,0,0,0,1629,1646,11,10
2021-03-11 15:47:36.827,2021-03-11-15-47-36-827,297,375,465,123,0,140,0,0,0,0,0,0,1629,1648,10,10
2021-03-11 15:47:36.842,2021-03-11-15-47-36-842,297,375,465,123,0,140,0,0,0,0,0,0,1629,1647,11,10
2021-03-11 15:47:36.873,2021-03-11-15-47-36-873,303,370,462,125,0,139,0,0,0,0,0,0,1630,1647,11,10
2021-03-11 15:47:36.904,2021-03-11-15-47-36-904,303,370,462,125,0,139,0,0,0,0,0,0,1629,1646,11,10
2021-03-11 15:47:36.935,2021-03-11-15-47-36-935,303,370,462,125,0,139,0,0,0,0,0,0,1629,1648,11,10
2021-03-11 15:47:36.951,2021-03-11-15-47-36-951,303,370,462,125,0,139,0,0,0,0,0,0,1632,1650,11,16
2021-03-11 15:47:36.983,2021-03-11-15-47-36-983,303,370,462,125,0,139,0,0,0,0,0,0,1629,1648,11,10
2021-03-11 15:47:37.014,2021-03-11-15-47-37-014,303,370,462,125,0,139,0,0,0,0,0,0,1630,1648,11,10
2021-03-11 15:47:37.045,2021-03-11-15-47-37-045,304,370,462,125,0,140,0,0,0,0,0,0,1628,1649,11,10
2021-03-11 15:47:37.076,2021-03-11-15-47-37-076,304,370,462,125,0,140,0,0,0,0,0,0,1630,1650,11,12
2021-03-11 15:47:37.108,2021-03-11-15-47-37-108,304,370,462,125,0,140,0,0,0,0,0,0,1629,1648,11,10
2021-03-11 15:47:37.139,2021-03-11-15-47-37-139,304,370,462,125,0,140,0,0,0,0,0,0,1630,1648,11,12
2021-03-11 15:47:37.170,2021-03-11-15-47-37-170,304,370,462,125,0,140,0,0,0,0,0,0,1630,1647,11,10
2021-03-11 15:47:37.201,2021-03-11-15-47-37-201,304,370,462,125,0,140,0,0,0,0,0,0,1628,1648,11,12
2021-03-11 15:47:37.217,2021-03-11-15-47-37-217,304,370,462,124,0,139,0,0,0,0,0,0,1630,1650,11,14
2021-03-11 15:47:37.248,2021-03-11-15-47-37-248,304,370,462,124,0,139,0,0,0,0,0,0,1629,1647,10,10
2021-03-11 15:47:37.264,2021-03-11-15-47-37-264,304,370,462,124,0,139,0,0,0,0,0,0,1629,1648,11,10
2021-03-11 15:47:37.280,2021-03-11-15-47-37-280,304,370,462,124,0,139,0,0,0,0,0,0,1629,1649,10,10
2021-03-11 15:47:37.295,2021-03-11-15-47-37-295,304,370,462,124,0,139,0,0,0,0,0,0,1629,1648,11,12
2021-03-11 15:47:37.310,2021-03-11-15-47-37-310,304,370,462,124,0,139,0,0,0,0,0,0,1629,1648,11,10
2021-03-11 15:47:37.342,2021-03-11-15-47-37-342,304,370,463,124,0,139,0,0,0,0,0,0,1629,1649,11,12
2021-03-11 15:47:37.373,2021-03-11-15-47-37-373,304,370,463,124,0,139,0,0,0,0,0,0,1630,1650,11,14
