mtime,Measurement time,Seat L1,Seat L2,Seat L3,Seat L4,L1,L2,L3,L4,L5,L6,L7,L8,Leg rest Angle,Recline Angle,Leg rest Voltage,Leg rest Ext. Voltage
2021-03-24 15:45:01.067,2021-03-24-15-45-01-067,219,432,406,182,0,260,0,0,0,0,0,0,1654,2892,11,10
2021-03-24 15:45:01.098,2021-03-24-15-45-01-098,219,432,406,182,0,260,0,0,0,0,0,0,1655,2892,11,12
2021-03-24 15:45:01.114,2021-03-24-15-45-01-114,219,432,406,182,0,260,0,0,0,0,0,0,1654,2893,11,12
2021-03-24 15:45:01.145,2021-03-24-15-45-01-145,219,432,406,182,0,260,0,0,0,0,0,0,1654,2893,11,12
2021-03-24 15:45:01.161,2021-03-24-15-45-01-161,220,432,407,181,0,260,0,0,0,0,0,0,1655,2893,11,12
2021-03-24 15:45:01.192,2021-03-24-15-45-01-192,220,432,407,181,0,260,0,0,0,0,0,0,1654,2891,11,10
2021-03-24 15:45:01.223,2021-03-24-15-45-01-223,220,432,407,181,0,260,0,0,0,0,0,0,1656,2893,13,16
2021-03-24 15:45:01.239,2021-03-24-15-45-01-239,220,432,407,181,0,260,0,0,0,0,0,0,1655,2892,11,10
2021-03-24 15:45:01.270,2021-03-24-15-45-01-270,220,432,407,181,0,260,0,0,0,0,0,0,1654,2892,11,10
2021-03-24 15:45:01.301,2021-03-24-15-45-01-301,220,432,407,181,0,260,0,0,0,0,0,0,1655,2875,14,0
2021-03-24 15:45:01.317,2021-03-24-15-45-01-317,219,432,406,181,0,261,0,0,0,0,0,0,1654,2893,11,10
2021-03-24 15:45:01.348,2021-03-24-15-45-01-348,219,432,406,181,0,261,0,0,0,0,0,0,1654,2892,11,12
2021-03-24 15:45:01.379,2021-03-24-15-45-01-379,219,432,406,181,0,261,0,0,0,0,0,0,1654,2894,11,12
2021-03-24 15:45:01.395,2021-03-24-15-45-01-395,219,432,406,181,0,261,0,0,0,0,0,0,1656,2893,11,12
2021-03-24 15:45:01.426,2021-03-24-15-45-01-426,219,432,406,181,0,261,0,0,0,0,0,0,1655,2892,11,10
