0g,500g,1000g,1500g,2000g,2500g,3000g,3500g,4000g,4500g,5000g
8327,51521,97606,141012,184712,227774,271614,314839,358570,401439,444327
8367,51617,97589,141028,184715,227785,271610,314876,358552,401386,444307
8372,51634,97565,141037,184707,227747,271652,314876,358553,401389,444224
8367,51579,97592,141035,184676,227783,271632,314864,358531,401422,444268
8352,51638,97567,141033,184752,227770,271600,314865,358487,401412,444232
8372,51568,97581,141037,184728,227773,271653,314842,358534,401423,444215
8337,51582,97559,141057,184703,227745,271650,314843,358473,401394,444195
8365,51582,97556,141044,184698,227742,271612,314845,358518,401365,444236
8375,51565,97535,141042,184679,227789,271578,314857,358467,401351,444198
8372,51551,97554,141014,184659,227759,271627,314841,358483,401350,444257
8317,51489,97565,141014,184715,227736,271608,314839,358484,401380,444236
8361,51554,97559,141048,184655,227782,271606,314864,358400,401367,444231
8365,51540,97575,141013,184639,227754,271583,314828,358417,401394,444222
8326,51536,97566,141045,184629,227697,271595,314859,358416,401404,444210
8339,51535,97533,141021,184646,227728,271550,314834,358388,401377,444215
8398,51549,97567,141153,184649,227791,271542,314838,358414,401389,444210
8358,51481,97569,141164,184700,227742,271550,314849,358396,401322,444142
8397,51581,97565,141099,184661,227766,271551,314757,358406,401329,444128
8397,51555,97553,141119,184658,227716,271560,314835,358363,401310,444165
8348,51509,97555,141121,184617,227751,271530,314810,358363,401311,444185
8354,51550,97543,141075,184670,227751,271551,314837,358396,401307,444171
8378,51521,97512,141121,184649,227734,271537,314779,358359,401304,444165
8331,51495,97511,141053,184635,227781,271574,314790,358409,401320,444203
8399,51550,97494,141095,184628,227731,271501,314807,358387,401310,444197
8386,51528,97475,141080,184628,227719,271549,314750,358380,401324,444206
8384,51452,97466,141087,184573,227718,271540,314788,358381,401305,444201
8392,51504,97523,141094,184611,227742,271561,314792,358399,401320,444125
8376,51481,97467,141025,184601,227726,271493,314769,358386,401314,444171
8361,51491,97493,141035,184578,227750,271544,314731,358406,401251,444194
8357,51459,97457,141078,184622,227741,271556,314766,358361,401255,444204
8337,51448,97468,141048,184625,227729,271530,314795,358362,401254,444191
8357,51426,97498,141031,184612,227721,271513,314765,358409,401243,444193
8346,51458,97433,141021,184557,227720,271533,314753,358402,401229,444227
8359,51495,97468,140994,184574,227752,271539,314731,358333,401231,444237
8312,51433,97429,141050,184571,227719,271520,314795,358386,401235,444139
8324,51438,97433,141092,184544,227723,271516,314767,358359,401240,444153
8357,51383,97439,141151,184609,227721,271548,314739,358409,401235,444132
8395,51481,97431,141097,184605,227685,271516,314737,358365,401250,444141
8375,51422,97459,141087,184590,227702,271497,314748,358367,401241,444118
8345,51464,97443,141121,184638,227724,271528,314727,358354,401217,444133
8342,51429,97441,141106,184606,227685,271507,314715,358412,401210,444149
8391,51496,97468,141108,184594,227708,271536,314709,358364,401197,444125
8388,51464,97430,141084,184604,227698,271502,314730,358337,401176,444148
8383,51482,97457,141066,184621,227725,271516,314744,358375,401224,444160
8320,51380,97444,141021,184590,227683,271542,314771,358340,401190,444095
8391,51487,97433,141057,184597,227675,271504,314739,358358,401154,444098
8342,51446,97429,141036,184583,227690,271513,314719,358306,401205,444112
8354,51442,97443,141020,184603,227654,271509,314756,358344,401203,444076
8353,51404,97473,140994,184614,227711,271521,314716,358334,401233,444113
8359,51414,97408,141052,184616,227710,271469,314729,358369,401242,444021
8357,51377,97361,141000,184594,227669,271508,314712,358361,401218,443981
8354,51369,97395,141047,184557,227655,271509,314702,358298,401225,443993
8363,51457,97411,140993,184591,227687,271474,314696,358308,401242,443971
8408,51468,97416,141004,184578,227658,271487,314721,358303,401286,443992
8317,51330,97422,141005,184538,227664,271506,314769,358313,401256,444005
8377,51439,97409,140987,184612,227731,271513,314688,358262,401309,444006
8396,51405,97431,141036,184569,227709,271521,314684,358298,401278,443959
8331,51338,97416,141017,184629,227706,271507,314691,358309,401243,444001
8370,51404,97423,141014,184677,227677,271516,314713,358295,401291,443950
8375,51400,97399,141024,184632,227676,271491,314728,358262,401229,443942
8374,51398,97414,141023,184628,227722,271485,314685,358275,401244,443986
8374,51416,97431,140991,184611,227703,271481,314698,358269,401225,443979
8373,51386,97389,140997,184597,227701,271486,314708,358259,401271,443950
8378,51370,97433,140948,184618,227652,271469,314668,358263,401240,443967
8398,51433,97397,141008,184576,227703,271476,314678,358327,401260,443978
8388,51398,97375,141009,184577,227710,271487,314725,358289,401314,444015
8395,51408,97410,140991,184612,227693,271453,314693,358257,401310,444040
8333,51336,97399,140986,184629,227646,271438,314685,358231,401312,443993
