mtime,seat_L1,seat_L2,seat_L3,seat_L4,L1,L2,L3,L4,L5,L6,L7,L8,legrest_angle,recline_angle,legrest_voltage,legrest_ext_voltage
2021-03-03-16-00-22-241,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-272,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-304,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-319,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-22-350,869,612,1031,158,0,1413,0,777,0,0,0,0,1502,2672,15,12
2021-03-03-16-00-22-382,318,323,486,100,0,327,0,1,0,0,0,0,1500,2671,11,10
2021-03-03-16-00-22-413,318,323,486,100,0,327,0,1,0,0,0,0,1499,2671,11,10
2021-03-03-16-00-22-429,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-460,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-22-475,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-507,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,14
2021-03-03-16-00-22-538,317,323,486,100,0,325,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-569,317,323,486,100,0,325,0,0,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-22-585,317,323,486,100,0,325,0,0,0,0,0,0,1502,2673,13,16
2021-03-03-16-00-22-616,317,323,486,100,0,325,0,0,0,0,0,0,1501,2672,10,12
2021-03-03-16-00-22-632,317,323,486,100,0,325,0,0,0,0,0,0,1504,2672,9,12
2021-03-03-16-00-22-663,317,323,486,100,0,325,0,0,0,0,0,0,1500,2672,10,10
2021-03-03-16-00-22-678,317,323,486,100,0,325,0,0,0,0,0,0,1504,2671,11,10
2021-03-03-16-00-22-710,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,10,10
