mtime,Measurement time,Seat L1,Seat L2,Seat L3,Seat L4,L1,L2,L3,L4,L5,L6,L7,L8,Leg rest Angle,Recline Angle,Leg rest Voltage,Leg rest Ext. Voltage
2021-03-11 15:08:48.690,2021-03-11-15-08-48-690,913,617,1154,195,0,2246,0,540,0,0,0,0,1680,1726,14,10
2021-03-11 15:08:48.721,2021-03-11-15-08-48-721,913,617,1154,195,0,2246,0,540,0,0,0,0,1681,1726,14,12
2021-03-11 15:08:48.737,2021-03-11-15-08-48-737,913,617,1154,195,0,2246,0,540,0,0,0,0,1680,1726,11,12
2021-03-11 15:08:48.768,2021-03-11-15-08-48-768,913,617,1154,195,0,2246,0,540,0,0,0,0,1680,1725,11,12
2021-03-11 15:08:48.784,2021-03-11-15-08-48-784,913,617,1154,195,0,2246,0,540,0,0,0,0,1681,1724,14,10
2021-03-11 15:08:48.815,2021-03-11-15-08-48-815,890,417,427,159,0,144,0,0,0,0,0,0,1680,1724,11,10
2021-03-11 15:08:48.846,2021-03-11-15-08-48-846,890,417,427,159,0,144,0,0,0,0,0,0,1678,1725,11,10
2021-03-11 15:08:48.862,2021-03-11-15-08-48-862,890,417,427,159,0,144,0,0,0,0,0,0,1680,1726,11,12
2021-03-11 15:08:48.893,2021-03-11-15-08-48-893,890,417,427,159,0,144,0,0,0,0,0,0,1679,1725,11,10
2021-03-11 15:08:48.924,2021-03-11-15-08-48-924,890,417,427,159,0,144,0,0,0,0,0,0,1680,1726,11,12
2021-03-11 15:08:48.955,2021-03-11-15-08-48-955,890,417,427,159,0,144,0,0,0,0,0,0,1680,1724,11,10
2021-03-11 15:08:48.971,2021-03-11-15-08-48-971,266,417,428,159,0,143,0,0,0,0,0,0,1680,1726,14,12
2021-03-11 15:08:49.002,2021-03-11-15-08-49-002,266,417,428,159,0,143,0,0,0,0,0,0,1680,1724,11,10
2021-03-11 15:08:49.034,2021-03-11-15-08-49-034,266,417,428,159,0,143,0,0,0,0,0,0,1680,1724,11,10
2021-03-11 15:08:49.049,2021-03-11-15-08-49-049,266,417,428,159,0,143,0,0,0,0,0,0,1679,1722,11,10
2021-03-11 15:08:49.080,2021-03-11-15-08-49-080,266,417,428,159,0,143,0,0,0,0,0,0,1679,1726,11,10
2021-03-11 15:08:49.112,2021-03-11-15-08-49-112,266,417,428,159,0,143,0,0,0,0,0,0,1680,1726,11,12
2021-03-11 15:08:49.143,2021-03-11-15-08-49-143,266,417,427,159,0,143,0,0,0,0,0,0,1679,1726,11,10
2021-03-11 15:08:49.174,2021-03-11-15-08-49-174,266,417,427,159,0,143,0,0,0,0,0,0,1680,1725,11,10
2021-03-11 15:08:49.190,2021-03-11-15-08-49-190,266,417,427,159,0,143,0,0,0,0,0,0,1680,1726,11,12
2021-03-11 15:08:49.221,2021-03-11-15-08-49-221,266,417,427,159,0,143,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:49.237,2021-03-11-15-08-49-237,266,417,427,159,0,143,0,0,0,0,0,0,1681,1725,13,12
2021-03-11 15:08:49.268,2021-03-11-15-08-49-268,266,417,427,159,0,143,0,0,0,0,0,0,1679,1724,11,10
2021-03-11 15:08:49.299,2021-03-11-15-08-49-299,266,417,428,159,0,143,0,0,0,0,0,0,1678,1726,11,10
2021-03-11 15:08:49.330,2021-03-11-15-08-49-330,266,417,428,159,0,143,0,0,0,0,0,0,1680,1725,11,12
2021-03-11 15:08:49.346,2021-03-11-15-08-49-346,266,417,428,159,0,143,0,0,0,0,0,0,1679,1726,11,10
2021-03-11 15:08:49.377,2021-03-11-15-08-49-377,266,417,428,159,0,143,0,0,0,0,0,0,1679,1725,11,12
2021-03-11 15:08:49.393,2021-03-11-15-08-49-393,266,417,428,159,0,143,0,0,0,0,0,0,1680,1726,11,12
2021-03-11 15:08:49.424,2021-03-11-15-08-49-424,266,417,428,159,0,143,0,0,0,0,0,0,1680,1724,11,10
2021-03-11 15:08:49.455,2021-03-11-15-08-49-455,266,417,427,159,0,145,0,0,0,0,0,0,1680,1726,11,10
2021-03-11 15:08:49.487,2021-03-11-15-08-49-487,266,417,427,159,0,145,0,0,0,0,0,0,1680,1728,14,16
2021-03-11 15:08:49.502,2021-03-11-15-08-49-502,266,417,427,159,0,145,0,0,0,0,0,0,1679,1724,10,10
2021-03-11 15:08:49.533,2021-03-11-15-08-49-533,266,417,427,159,0,145,0,0,0,0,0,0,1679,1728,11,14
2021-03-11 15:08:49.565,2021-03-11-15-08-49-565,266,417,427,159,0,145,0,0,0,0,0,0,1679,1725,11,12
2021-03-11 15:08:49.580,2021-03-11-15-08-49-580,266,417,427,159,0,145,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:49.612,2021-03-11-15-08-49-612,266,417,428,158,0,143,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:49.643,2021-03-11-15-08-49-643,266,417,428,158,0,143,0,0,0,0,0,0,1679,1725,10,10
2021-03-11 15:08:49.674,2021-03-11-15-08-49-674,266,417,428,158,0,143,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:49.690,2021-03-11-15-08-49-690,266,417,428,158,0,143,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:49.721,2021-03-11-15-08-49-721,266,417,428,158,0,143,0,0,0,0,0,0,1677,1726,6,12
2021-03-11 15:08:49.752,2021-03-11-15-08-49-752,266,417,428,158,0,143,0,0,0,0,0,0,1680,1727,14,16
2021-03-11 15:08:49.768,2021-03-11-15-08-49-768,266,417,427,159,0,143,0,0,0,0,0,0,1679,1725,10,10
2021-03-11 15:08:49.799,2021-03-11-15-08-49-799,266,417,427,159,0,143,0,0,0,0,0,0,1680,1724,11,12
2021-03-11 15:08:49.830,2021-03-11-15-08-49-830,266,417,427,159,0,143,0,0,0,0,0,0,1679,1726,10,12
2021-03-11 15:08:49.861,2021-03-11-15-08-49-861,266,417,427,159,0,143,0,0,0,0,0,0,1678,1726,10,12
2021-03-11 15:08:49.877,2021-03-11-15-08-49-877,266,417,427,159,0,143,0,0,0,0,0,0,1679,1725,11,12
2021-03-11 15:08:49.908,2021-03-11-15-08-49-908,266,417,427,159,0,143,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:49.924,2021-03-11-15-08-49-924,266,417,427,159,0,143,0,0,0,0,0,0,1680,1728,13,16
2021-03-11 15:08:49.955,2021-03-11-15-08-49-955,266,417,427,159,0,143,0,0,0,0,0,0,1679,1725,11,12
2021-03-11 15:08:49.986,2021-03-11-15-08-49-986,266,417,427,159,0,143,0,0,0,0,0,0,1679,1726,10,12
2021-03-11 15:08:50.018,2021-03-11-15-08-50-018,266,417,427,159,0,143,0,0,0,0,0,0,1679,1725,11,10
2021-03-11 15:08:50.049,2021-03-11-15-08-50-049,266,417,427,159,0,143,0,0,0,0,0,0,1679,1725,11,10
2021-03-11 15:08:50.065,2021-03-11-15-08-50-065,266,417,427,159,0,143,0,0,0,0,0,0,1680,1726,11,14
2021-03-11 15:08:50.096,2021-03-11-15-08-50-096,266,417,427,159,0,143,0,0,0,0,0,0,1679,1725,11,10
2021-03-11 15:08:50.127,2021-03-11-15-08-50-127,265,417,427,158,0,144,0,0,0,0,0,0,1679,1725,11,12
2021-03-11 15:08:50.158,2021-03-11-15-08-50-158,265,417,427,158,0,144,0,0,0,0,0,0,1680,1726,11,14
2021-03-11 15:08:50.174,2021-03-11-15-08-50-174,265,417,427,158,0,144,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:50.205,2021-03-11-15-08-50-205,265,417,427,158,0,144,0,0,0,0,0,0,1680,1724,11,10
2021-03-11 15:08:50.221,2021-03-11-15-08-50-221,265,417,427,158,0,144,0,0,0,0,0,0,1680,1723,11,10
2021-03-11 15:08:50.252,2021-03-11-15-08-50-252,265,417,427,158,0,144,0,0,0,0,0,0,1679,1725,11,10
2021-03-11 15:08:50.283,2021-03-11-15-08-50-283,266,417,428,159,0,143,0,0,0,0,0,0,1681,1726,13,14
2021-03-11 15:08:50.315,2021-03-11-15-08-50-315,266,417,428,159,0,143,0,0,0,0,0,0,1680,1725,11,12
2021-03-11 15:08:50.330,2021-03-11-15-08-50-330,266,417,428,159,0,143,0,0,0,0,0,0,1679,1726,11,12
2021-03-11 15:08:50.361,2021-03-11-15-08-50-361,266,417,428,159,0,143,0,0,0,0,0,0,1679,1724,11,10
2021-03-11 15:08:50.393,2021-03-11-15-08-50-393,266,417,428,159,0,143,0,0,0,0,0,0,1680,1725,11,10
2021-03-11 15:08:50.408,2021-03-11-15-08-50-408,266,417,428,159,0,143,0,0,0,0,0,0,1679,1726,11,10
2021-03-11 15:08:50.439,2021-03-11-15-08-50-439,266,417,427,159,0,144,0,0,0,0,0,0,1679,1725,11,10
2021-03-11 15:08:50.471,2021-03-11-15-08-50-471,266,417,427,159,0,144,0,0,0,0,0,0,1681,1727,14,12
2021-03-11 15:08:50.486,2021-03-11-15-08-50-486,266,417,427,159,0,144,0,0,0,0,0,0,1680,1726,11,10
2021-03-11 15:08:50.518,2021-03-11-15-08-50-518,266,417,427,159,0,144,0,0,0,0,0,0,1680,1726,11,10
