mtime,Measurement time,Seat L1,Seat L2,Seat L3,Seat L4,L1,L2,L3,L4,L5,L6,L7,L8,Leg rest Angle,Recline Angle,Leg rest Voltage,Leg rest Ext. Voltage
2021-03-19 16:24:40.920,2021-03-19-16-24-40-920,810,619,1114,176,0,729,96,1032,0,0,0,0,1600,2315,11,10
2021-03-19 16:24:40.951,2021-03-19-16-24-40-951,787,716,1080,172,0,728,109,0,0,0,0,0,1601,2314,11,10
2021-03-19 16:24:40.982,2021-03-19-16-24-40-982,787,716,1080,172,0,728,109,0,0,0,0,0,1601,2317,11,12
2021-03-19 16:24:41.013,2021-03-19-16-24-41-013,787,716,1080,172,0,728,109,0,0,0,0,0,1600,2315,10,10
2021-03-19 16:24:41.029,2021-03-19-16-24-41-029,787,716,1080,172,0,728,109,0,0,0,0,0,1600,2313,11,10
2021-03-19 16:24:41.060,2021-03-19-16-24-41-060,787,716,1080,172,0,728,109,0,0,0,0,0,1600,2315,11,12
2021-03-19 16:24:41.076,2021-03-19-16-24-41-076,787,716,1080,172,0,728,109,0,0,0,0,0,1602,2317,13,14
2021-03-19 16:24:41.107,2021-03-19-16-24-41-107,242,421,411,172,0,326,0,0,0,0,0,0,1600,2315,11,12
2021-03-19 16:24:41.138,2021-03-19-16-24-41-138,242,421,411,172,0,326,0,0,0,0,0,0,1601,2315,11,12
2021-03-19 16:24:41.170,2021-03-19-16-24-41-170,242,421,411,172,0,326,0,0,0,0,0,0,1601,2315,11,10
2021-03-19 16:24:41.185,2021-03-19-16-24-41-185,242,421,411,172,0,326,0,0,0,0,0,0,1600,2316,11,12
2021-03-19 16:24:41.217,2021-03-19-16-24-41-217,242,421,411,172,0,326,0,0,0,0,0,0,1600,2315,11,10
2021-03-19 16:24:41.248,2021-03-19-16-24-41-248,242,421,411,172,0,326,0,0,0,0,0,0,1601,2315,10,10
2021-03-19 16:24:41.263,2021-03-19-16-24-41-263,242,421,411,172,0,325,0,0,0,0,0,0,1601,2314,10,10
2021-03-19 16:24:41.295,2021-03-19-16-24-41-295,242,421,411,172,0,325,0,0,0,0,0,0,1600,2315,11,10
2021-03-19 16:24:41.326,2021-03-19-16-24-41-326,242,421,411,172,0,325,0,0,0,0,0,0,1601,2316,11,12
2021-03-19 16:24:41.342,2021-03-19-16-24-41-342,242,421,411,172,0,325,0,0,0,0,0,0,1601,2316,11,14
2021-03-19 16:24:41.373,2021-03-19-16-24-41-373,242,421,411,172,0,325,0,0,0,0,0,0,1601,2315,11,10
2021-03-19 16:24:41.404,2021-03-19-16-24-41-404,242,421,411,172,0,325,0,0,0,0,0,0,1601,2315,11,10
2021-03-19 16:24:41.435,2021-03-19-16-24-41-435,242,421,411,172,0,326,0,0,0,0,0,0,1601,2315,11,12
